StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Student's track,Student's year of study,Are you,"Justification/rationale. Was the presenter presenting convincing arguments for the need of the research or a goal for the research? Was is driven by absence of knowledge, a contradiction in the literature, weird observation? If hypotheses were proposed, were the alternatives clearly listed? (5 - highest; 1 - lowest)",Experimental design. Was experimental set-up well presented? Were appropriate positive and negative controls mentioned? (5 - highest; 1 - lowest),"Results. Were the results clearly presented? Were rigorous statistical analyses included and appropriate for the data? Was statistical significance related to biological importance of the results (i.e., some statistically significant results are not important biologically)? Were conclusions drawn from the results sound? (5 - highest; 1 - lowest)",Limitations/alternatives. Were the limitations of the experimental design and/or potential alternative explanations of the results obtained discussed ? Were replicates and/or additional experiments discussed? (5 - highest; 1 - lowest),"Presentation. Was the presentation interesting and informative? Was the presentation well paced (not too slow, not too fast at presenting)? Was the material well presented? Was the question/answer session handled appropriately? (5 - highest; 1 - lowest)","Comments. Please include any specific comments regarding the research project, presentation, etc."
,,,,,,,,,,,,,,,,,,,,,,,,
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}"
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:01,11/11/22 9:02,0,100,18,1,11/11/22 9:02,R_2b14qToYhcmCVFD,,,,,35.9539,-83.9357,anonymous,EN,1,2,4,5,5,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:02,11/11/22 9:02,0,100,31,1,11/11/22 9:02,R_2eVcizz1gWXK4gd,,,,,35.8974,-83.9425,anonymous,EN,1,2,3,5,5,5,5,5,Great presentation
,,,,,,,,,,,,,,,,,,,,,,,,
11/11/22 9:03,11/11/22 9:04,0,100,109,1,11/11/22 9:04,R_2an9FbkidFrt5XL,,,,,35.9452,-83.9435,anonymous,EN,1,2,2,4,3,3,3,5,Be very careful when making conclusions about things.
